riddle,answer
A man walked in to a bar and asked for a glass of water the bar man toke out a gun and poined it at him the man who asked for the glass of water just smiled and walked away happy                       Why?,he had the hicupps
"if a pink house is pink, a yellow house yellow, a purple house purple, what colors a green house",its clear
21 people jumpe into a lake.  24 heads pop up.  how is this possible?,20 forheads
"a father (who's a doctor) and his son were driving in a car and they get into a horrible accident.  the father dies and the son is in critical condition.  the ambulance arrives and brings the son to the hospital.  the doctor is about to operate on the son until the doctor said ""i can't operate on him, he's my son"".  Who's the doctor that won't operate on the son?",mother is doctor
There are only 12 of these in the world but everyone has one.  What's the answer?,birthstone
What kind of mint does Base players Chew?,basemint
son. dad iam so happy because my class miss asked one question no one answers  dad. what is the question?  son . miss asked who broked the window?  dad. what doyousay?,son i broked the window
WHAT DO YOU CALL CHESSE THATS NOT YOURS!,nacho chesse
"I am big sink, with a curtain.  I even have soap.  What am I?",bathtub
a lady was found dead at the bottom of a cliff holding a peace of straw(hay)she commited suicide but did not jump of the cliff how did she die. ,she drew the shortest straw
Why did the turtle cross the road?,going to the shellstation
I always point in the right direction.  My instructions are written in black and white.  Disobey me and pay the consequences.  I will never say more than two words at a time.  What am I?,one way sign
A baby is just born from a black mother and a white father.  What is the color of the baby's teeth?,newborns dont have teeth
"I am very colorful, triangular, but most people don't follow my rules.  What am I?",food pyrimid
"Title: THE WORLD'S HARDEST RIDDLE""  Body: I turn polar bears white  and I will make you cry.   I make guys have to pee  and girls comb their hair.   I make celebrities look stupid  and normal people look like celebrities.   I turn pancakes brown  and make your champane bubble.   If you sqeeze me, I'll pop.   If you look at me, you'll pop.   Can you guess the riddle?",grease
I am a thing that spiders make.  I am white and thinn but if you see me in a moniter I am multi-colors.  What am I?,web in the internet
Why is eating at a restaurant on the moon boring?,because there is no atmosphere
there is a black car with black windows weels and rims under a steet lamp but the street lamp is broken how can you see the car ?,day light 
What did teeth give their teeth friends when they were sad?,mouthwash to brighten them up
why did the chicken cross the road?,who cares
There's a person who is at a store.  Is it a boy or a girl?,who cares
WHAT ARE THE SCHOOL BULLY'S FAVOURITE COLOURS?,blue and black
The boy is a boy and the girl is a girl but the girl has no idea that she is a girl and the boy has no idea that he is a girl.  The boy has long hair and the girl has short hair and the girl takes her top off in front of everyone while the boy thinks that rude and disgusting.  Who's who. ,their both babies
When is a dog's tail not a tail?,when its a wagn
How do they drink water in the South?,from dixie cups
"One day a boy ate cookies while his wife said ""Don't eat them or I'll eat your flesh for dinner"".  The next week he was still alive, how?",boys dont have wives
What happens when you breed a a lion and a tiger???,liger
"Granny looked up from her rocking chair and said:   As far as I can tell, there is only one anagram of the word trinket.  What is it?",word knitter
"Tara has $29. 00 dollars.  She bought 4 coloring books that cost $3. 00 each, 4 boxes of crayola crayons that cost $2. 00 each.  She spend the rest of her money on markers.  How much money did she spend on markers",9 00 on markers
There is a golden bungalow everything in the bungalow is gold - what colour are the stairs???,bungalows dont have stairs
What goes around the world but stays in a corner?,stamp hehehehehehehe
Imagine your in a big steel box with absolutely no way out.  How do you escape?,stop imagining  it 
What tree is most warmly clad?,fir tree
a woman shots her husband then she drowns him then she hangs him then she takes him out for dinner that night,she is a photographer
I AM OF SAME COLOR IN AND OUT.   FOUND IN EVERY COUNTRY.   EVERY ONE HAS ONE OR 100  GUESS WHAT I AM??,tshirt
These two people you may have grown up with when you where little.  They are old and warmhearted.  We would not be here if it wasn't for them.  You could talk to them when you where down and more importantly when no one was around.  They may have spoild you  and then again they could be mean.  But some are nice and some are small like rice but I know I love mine for they are all mine. Who are these people. ,our granparents
ifyouwere in a building with no windows and allyouhad was piece of gold mirror and rock how wouldyouget out,use the door
"A man comes into a jail to visit a prisoner there.  A guard stops him and says,""Hold it right there.  Only relatives can visit. ""   The man says,"" Brothers and sisters, I have none.  That man's father is my father's son. ""  How are the man and prisoner related?",prisoner is mans son
"A duck is swimming in a lake.  A cat is sitting in her tail.  If the duck dives, what happens to the cat?",he gets wet
their is a plane crash on the border of the USA and mexico.  Where do you bury the survivors?,nowhere their survivors
"What has roots as nobody sees,  Is taller than trees,  Up,up it goes,  And yet never grows?",mountain of course
"you ride into a town on wednesday,you stay three days and leave on wednesday.   how is that possible?",your horses name is wednesday
What paper makes you itch?,sratch paper
"About the size of a squash,  He robs the whole village. ",rat
"old mother twitchet had one eye and a long tail that she let fly, and every time she went through a gap, she left a bit of tail in her trap what is mother twitchet?",salamander
what is ugly has a internet and think they are smart?,y  o  u
I have caught 50.  I own 100.  How did i get them?,i mugged professer oak
"I'm big, I'm comfortable, but most of all I'm oh, so lazy.  I have two arms, but only one foot.  What am I?",lazy boy recliner
"You can do it in vessels for getting you clean.   You can do it to fabric to stop being seen.   You are doing it when you've come up short.   You've done it too when you've equalled in sport.   This may sound like there should be images but then,  You can do all those things without pencil or pen.    What is the word?",draw
what do basketball players read in their spare time?,tall tales
"So a guy walks into a bar, sits down and the bar and starts talking to the bartender.   he tells the bartender what was wrong with him.   then he said, ""man, i really need a glass of water. ""  the bartender pulls out a real, loaded gun, and flips the safety switch.   ""oh my gosh!"" the man yells, then says, ""thanks you so much!"" and walks out of the bar.   what was wrong with him?  hint: he asked for water, but he wasnt's thirsty. ",he had the hiccups
U r the bus driver!!!  2 pwople get on  1 person gets off  10 people get on   4 people get off  6 people get on   4 people get off whatcolor is the bus drivers shirt???,color of ur shirt
"a man walked into a bath room with a real loaded gun and real bullets loaded in,he shot him self in betwen the eyes and lived!how did he do it and no,he's not superman or he didnt miss. ",he shot his reflection
why do tigers eat raw meat?,because they are lousy cookers
"A ship that puts a road in order,  What is it?",smoothing iron
"a mother has children.  all of them are green eyed but 2,all of them are blye eyed but 2 and all of them are brown eyed but 2.  how many children does she have?",3
"a duck behind two ducks, a duck in front of two ducks, and a duck in the middle of two ducks, how many ducks are their?",3
"if your bedroom were pitch dark and you needed a pair of matching socks, how many socks would you need to take out the drawer if there are 10 white socks and 10 blue ones?",3
"I come in different shapes and sizes.  Part of me are curves, others are straight.  You can put me anywhere you like, but there is only one right place for me.    What am I?",jigsaw puzzle piece
Dr.  Frank and Mr.  Dunce played 7 games of chess.  Each won the same amount of games.  There were no ties or draws.  How can this be?,they did not play eachother
"There is a one story house and everything in the house is green (the floor, cieling/wall, furniture, etc. ).  You walk in and you ask what kind of shade of green the stairs.  What does the tour guide say?",house is one story
two brothers where born on the same day in the same same year the same mother and father but their not twines what are they??,they where triplites
Henry was out walking one day.  He met his father-in-law's only daughter's mother-in-law.  What did Henry call her?,he called her mom
"If you are allergic to pineapples, are you allergic to pineneedles? Are you allergic to pines, and are you allergic to apples?",nope  just pineapples
"A very pretty thing am I, fluttering in the pale-blue sky.    Delicate, fragile on the wing, indeed I am a pretty thing.    What am I?",beautiful butterfly
"A man lives on top of a ten story apartment, but the elevator doesn't go to his floor.  Why?",he lives on the roof
i enjoy the earths creations and never kill.  What i do to be happy is ilegal what am I. ,stoner
nanma wanna mela airna savari                           wanna nanma mele airna,oppari
theres a pipe a carrot and a button that fell to the ground. what had happen?,snowman had melted
What is a sea dragons favorite meal?,fish and ships
"Derrek's mother had some money, a quarter, a nickle and a penny.  She had three kids, quarterless, nicholas, and what was the last one's name?",derrek
bottimetle what common saying is this?,time in a bottle
the more we make the more we leave behind what are we?,foot prints
How does a dog stop the VCR?,he uses the paws button
"When my skin gets peeled, I bleed, when someone cuts me in half they see cancer spots forming, when held I'm a bucket of water, what am I?",watermeleon
"A man rode into town on friday, and three days later he rode out on friday. . .   How?",friday is the horses name
What is long hard and full of semen?,submerine
A man lives on the 10th floor of his apartment building.  Every day when he leaves for work he takes the elevator to the 1st floor.    When he comes back from work he takes the elevator to the 7th floor and walks up the stairs the rest of the way to the 10th floor.    Why does he stop at the 7th floor on his way back home?,hes a midget
How did rich people get their money?,they were calm and collected
What is big and heavy and sounds like mouses. ,houses
24 white horses on a red hill 12 go up and 12 go down what am i?,of cource im your teeth
"A boy and his father/Mr. Smith are driving in a car they get into a acedent Mr. Smith died instantly and the boy was rushed to the hospital and then the docter says ""I cant operate on this boy he is my son. "" Who is the docter?",it was his mother
there was a man who lives in a (title) and on the 13th floor.   he goes to work every day and he hates the stairs.  when it is raining he goes to the 13th floor; when it is sunny he goes to the 8th floor and takes the stairs.   Why is that???,he is short
"a man left home.  he took a right, another right and a final right.  when he got back he saw two masked men.  Who were they?",backcatcher and umpire
How many vampires does it take to screw in a light bulb?,none vampires like the dark
A man walked into a bar called Tom and asked for a glass of water the bar man took out a gun and pointed it at Tom.  Tom walked away happy with out the glass of water                                         Why?,because he had the hiccups
A man is 20 years old but has only had 5 birthdays.  How is that possible?,he was born febuary 29th
"I am a key but i open no door  I will never fit into any lock  I help to play music but only with others of my own kind  I can not do my job alone,    What am I?",piano key
"A man and his family are going for a drive, when they run out of gas.  They are three miles from the nearest gas station, so the man has to walk there to get gas.  He knows that they are in a bad area, so before leaving he tells his family to roll up their windows and shut their doors, which they do.  When he gets back, all his family are shot dead.  None of the family are homicidal or suicidal.  How did they die?",car is a convertible
"The police arrived at a crime scene, there is a car parked on the side of the road, there is a man inside with 2 gun shot to the heart and one to the head, the windows are up, the doors are lock and the car is still running.   There is no bullet holes anywhere on the car and no puddle of blood outside the car.   The police found no gun in the car.   How is it possible that the man got killed?",car is a convertible
When the child place his school books on the television after he returned from school what was his plan?,to watch payperview
what do you get when you combine roller skates & a rocking chair. ,rock n roll
A dying king told his two sons that the one's whose horse got to Mecca last would inherit his kingdom.  At first the two boy's tried to ride as slowly as possible towards Mecca.  That night they stayed at the local inn.  They told the innkeeper their dilemna and he spoke two words to them.  The next morning the boy's were racing as fast as they could to Mecca.  What had the innkeeper told them? Remember: two words!,switch horses 
there is a guy who is going around the store trying to find green olives.  he runs into two girls that look excatly alike and he asks them if they were twins.  they say no but mention that they have the same birth parnets and were born on the same day and year.  how is that possible?,they are tripplets
I go where you go ! but i don't make a sound.  I'm loud when i need to be .  And silent when you put me down . In any given day you can have up to ten those can be your ememy can also be your friend what i'm i ?,cell phone
A runner ran a distance and turnned left. He ran the same distance and made another left. He ran the same distance again and made a left. When he came home there were two masked men. Who were the masked men?,cater and umpire
"My first is a number, my second another,   And each, I assure you, wil rhyme with the other.    My first you will find is one-fifth of my second,   And trly my whole a long period reckoned.    Yet my first and my seond(nay, think not I cozen),   When added together will make but two dozen.     How many am I?",four score
You have a barrel full of water that weighs 30 pounds. What do you add to it to make it weigh 20 pounds?,you add holes
You in a grocery store with only a table and mirror.  How do you get out?,walk out the front door
I am a three digit number.    My tens digit is five more than my ones digit.    My hundreds digit is eight less than my tens digit.    What number am I?,number 194
"A cowboy rode into town on Friday.  He spent three days (72 hours) in town, and rode home on Friday.  How can this be?",cowboys  horses name was friday
a man named pete and a man named repeat where in a boat pete fell out who was left,repeat   then repat the question
imagine if you were in a sinking boat 50 miles out in the indian ocean. there was lots of shaks around the sinnking boat and there was no large items in the boat to block the hole up .  how would you get out of it?,stop imaginig
What question can you never anwser yes to. ,are you alseep yet
light as a feather yet no man can hold it for long.  what is it?,ones breath
"I am purple, pink, blue, and yellow what am i",somthing weird
There is a boat attached to a dock by a rope.  Hanging from the boat is a ladder.  The ladder has three bars on it.  Each bar is a foot long.  There is a foot and a half between each bar.  Three bars are visible above the water.  When the tide rises 3 feet how many bars will be visible?,three boats float
"you choose when i make a sound, how i make a sound and how loud it will be.  i move but i dont what am i",t v
I have a house there in nothing in it but a rocking chair it goes back and foward how does it move?,it never moved
"A jumper of ditches,  A leaper of thorns,  A little grey man with two leathe horns. ",hare
A basketball drops from nowhere and nobody is around.   So how does the ball get there?,it doesnt fall
If normal monkeys eat bananas what do special monkeys eat?,also bananas
thers 3 kindergarten kids walking down the street black blonde and brunttte who most pretty?,black because she is 17
"What's held in a case, takes flight and spirals through the air, but never moves?",staircase
what goes up and down but dosent move,staircase
What type of case can you not carry?,staircase
I have a flame but i'm not a fire pit I use gas and i'm usually black sometimes right on your patio what am I?,grill
What type of cat can also be a type of weed?,dandylion
"What's wide at the bottom, narrow at the top, and has ears?",mountain with mountainears
"I go around in circles    But always straight ahead,    Never complain    No matter where I am led. ",wagon wheel
"If fish lived on land, where would they live?",in finland
if you eat something that you can find outside and you won't die from it.  what is it?,answer is a snowflake
"A man and his son are going for a drive, and the car crashes.  The father is killed, and the son is rushed to hospital in critical condition.  He is just about to be operated on, when the chief surgeon says, ""I can't operate on him.  He is my son. "" How is this possible?",chief surgeon is his mother
"there were 4 men on a boat.  the boat sank and not a singel man got wet, what happened?",all the men were married
I can crunch in your mouth I can also melt in your mouth at the same time What am I??????,crunch bar
When i go fast you cannot see me when i go slow you cannot see me who i am ?????????????????????,ans  air  wind 
Knock Know. Who's there? Kowse. kowse who?,kowse moo
"You don't want me, although I keep coming back.  You make me, but then get rid of me like that.   What am I?",garbage
"canyouname three consective days with out using Monday, Tuesday, Wednesday, Thursday, Friday. ",today tomorrow yesterday
"Ok.  Imagine You Was Driving A Bus, You Had 10 Passengers You Dropped Off 5 You Picked Up 100 You Dropped Off 15 Then You Picked Up 10. . . .   What Was The Drivers Name?",you your name lol
what has an arch a roof and no windows?,dog kennel
"I will scare your animals, and steal the dark.  I come and go making my mark.  I am hot to the touch, but men say i am cool.  I cannot be harnessed, i am no man's tool.  What am I?",i an a lightning bolt
There was a man walking on the street and did not have feet how can he move if he does not have feet??,he is flying
"i will dance , i will sing , but i do no have life .  How am i ?????????????????????????????????",answer  t v
What is the difference between a new 20 dollar bill and an old one?,19 dollars
"whats black and white, black and white, black and white and green?",three penguins and a pickle
What do you do when a 200 pound cat is chasing you?,run
What did the p. e teacher say to the fat kid?,run
"I am round like a disc, I am rough, but I am flat.  If you lose me, it's hard to win me back.  What am I?",poker chip  
A City in which we cant Enter,electracity
Why did the hot dog run a lot?,he was a wiener
You cannot read me but a dvd can.  You can write on me and the computer can write in me.  Wath am I?,cddvd
You buy a parrot and the seller says it repeats every thing it hears but then he spoke to it for two weeks and never said anything and the seller said he did not lie.  Who is this?,parrot is deaf
i have four sides im the most common shape but im skinnier than a rectangle what am I?,line
A child and his dad were going down the road and they had a car crash two ambalunce came they went in one each they went to different hospitals and the docter came in to operate on the child and he said no thats my son,it was is mother
why didn't the oyster share its pearl?,because it was shelfish
"I have no fangs, yet I constantly bite.   I have no scales, yet I slither through you.   What am I?",venom
I am black and white all over with red! what am I?,bloody penguin
When does 10+12 ever equal 10?,on a clock
I run with him beside my side.  For those who try to take my pride .  i go with him in side the dark but this thing does not bark .  He should be a woman's best friend.  He gives anyone a very bad taste. what am I?,pepper spray
"There is a fork in the road, one path leads to liarsville(where they always lie) and one path leads to truthville (where they alway's tell the truth).  There are no signs but a man in the middle of the fork and you don't know if he from truth or liar ville.  What Question could you ask him to go to truthville?",take me to your hometown
There is a green monster and a red monster in your town and you have to kill them.   The red monster will die after being shot 1 time and the green will die after being shot 2 times.   You only have 2 bullets.   How do you kill them both?,buy more bullets
Where were your parents when the lights went off?,in the dark
where was the mummy when the light went off,in the dark
Why did the chicken cross the lake of acid infested with mutant aliens breed to devour chickens?,beats me  
What's the world's saddest animal?,cryote
"Jerry went out to the hardware store to buy some needed supplies.   He spent half of what he had plus $2. 00 in the first store; half of what he had left plus $1. 00 in the second store; half of what he had left plus $1. 00 in the third store; and in the last store , half of all he had.   Three dollars were left over.   How much money did he start with",64 00 dollars
My initials are PQRS.  I am always above a star and i never get burned.  Who/What am I?,number 7 on a telephone
what happens to the dog when it stands infront of the hot sun,dog becomes hotdog
what can you through it off a clif and it wont pop. when you use a forek it pops. what am i??????,boloon
"what is a person feeling while eating a "" KELA """,akela
i snap but i am not a twig .   ihave armor but i am not a knight. i have a mobile home but i dont live in a trailer park .   i am hard but soft at the same time i am sharp.  like a teacher but i am stupid.   i am as fast as a rock rolling up a hill.   i am a lover staring at a rock but notin love.   i see air but i can not hear it. ,snaping turtle
30 dogs 28 sheep how many did not?,10
A cowboy had to go to a business trip in Florida for 4 days.  He left on Sunday and returned on Tuesday.  How is that possible?,his horses name was tuesday
"what can be seen during the day, but is lost in the night?",shadow    
"There is a list of number from 1-1000.  How many times does the number ""3"" appear?",301 times
"i can be a quarter , i can be a half, i can be full, but the other side of me you'll never know.  What am i ?!",moon 
a guy walks into a bar and says ouch!!why'd he say ouch?,hewalked into a pole
"a man got shot in a car, the windows were up the doors were locked he was alone and he did'nt shoot himself. no glass was broke.  how did he get shot?",he was in a convertiable
what time does a dentist get up to leave for work,tooth hurrty
How do you stop a blonde tank?,shoot the people pushing it
If you are an american in the living room than what are you in the bathroom?,eurapean
What has a head and a tail but no body?        Is that possible?,quater
i dont have head             i dont have hand i have different colors           who i am?,shirts
"beach,paper,and bath-what do these items have in common?",beachtowel  papertowel  bathtowel
whats musical and likes kids?,michael jackson
I have an amusement park in my back yard.   I wear white gloves.   I love children. . .  alot.   I am black with a white face.   Who am I?,michael jackson
"Once you hear me come from someone you may run, some people may stop breathing, and others may hurt the one who pocesses me.  But the one who pocesses me does not mind me at all. ",fart hehe
"4_4_4_4=20   in the above equationyoucan see that there are 3 blank spaces between four(4's)youhave to insert signs(+,-,*,/) between them in such a manner that the result equals ""20"". ",444420
Fred and Bob were dead on the floor with shattered glass and water all around them.   The door was locked from both the inside and the outside.  The window curtain was left blowing.   How did they die?,they were fish
"if someone said theyd go to your house and order chicken wings and pay for them, what are you likely gonna do while eating them?",sit down inless your wierd   
A team won one to zero but not one man crssed homeplate.  How is this  possible. ,it was a women
I am a guy brothers and sisters I have none but the picture on the wall is the son of my fathers son.  Who is it?,my son
"You ponder me in your mind,  I grow stronger with time  And weaker all the while.   I drive you crazy  In your mind that's hazy.   I'm a magnet to thought  And a shade to your eyes,  Now what am I?",riddle or question
"A man is standing in front of a portrait looking at the picture of a man's face.  Looking at the man in the portrait he says: ""This man's father is my fathers son!"" How is the man in the portrait related to the man looking at it?",man in portrahis son
"I break at my beginning,  Silent, except for birds singing.   At my end I fall but don't hit the ground at all.   A new one of me may bring joy,  Or may bring sorrow.   No one can tell,  Just wait for tomorrow. . .   What am I?",day
There was a boy and his dad driving in a car. (The dad was a doctor) They got in a bad car crash.  The dad died and the son was injured.  The son got rushed to the hospital.  When the doctor got in the doctor said i can not operate on this boy he is my son.  Who is the doctor?,docor was his mom
"What is black and yellow and goes zzub,zzub?",bee flying backwards
"What is firm but soft,  Shows emotion,  But doesn't exist to the ones that hurt you. ",your feelings
"I am born on paper with twisted lines, I'm a sponge in a way and I taste awful, what am I?",moss
What has Three eyes Six legs and a Tail?,norse god odin
When would a women love a bald midget?,when he is her baby
You are in a clothes store with no doorand you have a bag.  How do you get out?,you dont
What Walks On Its Head All Day Long?,nail in horse shoe 
"I am what you think, I am not what you see?",you imagination
Da 22nd n 24rth president had da same mom n dad but they were not bro's .  How is this possible?,they were da same person  
"David was out for a walk when it started to rain.  He did not have an umbrella and he wasn't wearing a hat.  His clothes were soaked, yet not a single hair on his head got wet.  How could this happen?",david is bald
less than 1000   more than 88 x 2 + 8  less than 100 x 9 + 65   more than 100 x 9 + 63,964
why is 6 afraid of 7,because 789
why was 7 afrade of 9 ?,because 789
There is a bomb in the chamber of a bomber plane.  The bomb is not attached to anything.  The chamber is opened but the bomb doesn't come out.  Why is this?,plane is flying upside down
"If you had only one match and entered a room in which there was a kerosene lamp, an oil heater, and a woodburning stove, which would you light first?",light the match first
there are 6 copy cats on a boat.  1 jump off.   how many copy cats are left?,none  their copy cats
Long and thin  But you can't win  two holes but   everything stays in   I come in all sizes  with many surprises,straw
usually cow gives milk. what does cow gives when earthquake occurs?,milkshake
"He's a boastful, puffed-up fellow, wearing spurs; eyes gleaming yellow.  As he proudly struts about, he's in charge, there is no doubt.  What is he?",he is a rooster
hey riddler were the only peeps here,loner
"There were 4 people that liked to set people's houses on fire.  Their names were Mark,Alex,Anthony,and Kevin. One day the police officers found about the fires but didn't know which person did it. Mark,Alex,Anthony,and Kevin's last name was Price. The police officer put up a sign that said this   ?Price.                          Which person set the fire?                   Hint:the sign has a big hint",mark
WHAT HAS ONE EYE BUT COULD NEVER SEE?,pin
I AM NICE AND ROUND  I NEVER TOUCH THA GROUND.    ECEPT FOR 1 TIME WHEN I FLEW ACCROSS THA FLOOR  AND GOT MYSELF STUCK BETWEEN A DOOR!!!  OW!,my head
Im something you can hold also that you can find anything on me what am i ???????????,laptop
I have a keyboard  A mouse a monitor   It can have internet.   I can move from town to town  What am I?,laptop
MR.  SMITH AND HIS SON ARE DRIVING IN A CAR.  THEY GET INTO A HORRIBLE ACCEDENT.  MR.  SMITH DIES INSTANTLY.  MR.  SMITH'S SON HOWEVER IS RUSHED TO THE EMERGENCY ROOM.  THE SURGEN SAID I CANNOT OPPORATE ON THIS CHILD BECAUSE HE IS MY SON.  HOW IS THIS POSSIBLE?,surgen is boys mother
"THERE ARE 4 CATS IN A ROOM, EACH CAT IN A CORNER EACH CAT SEES 3 CATS HOW MANY CATS ARE THERE",there are 4 cats
"Which is correct, ""The yolk of the egg are white"" or ""The yolk of the egg is white""?",neitherthe yolk is yellow
What type of button does not button??,belly button
"Nick's father has three sons snap,crakle,and____?",nick
there once was a man who stole cake.  one day he went to the store he came home with a cake that he stole and ran after he got home.  what was he running from when he got home?,duck
You do this to protect yourself  It doesnt have many colors on it   the noise it makes is as big as its bite!  what is it?,duck
"What cooks in a pit, and ends with a flood, stews for quite a bit, yet when it comes out is still dripping with blood?",mammals newborn
"I am seen in the water   If seen in the sky,   I am in the rainbow,   A jay's feather,   And lapis lazuli",ciphor
What bay do you never want to be in?,bombey
Can you Geuss my name?,rumplestilskin
"im brown on the outside white on the inside, i have skin but no limbs,eyes and no mouth what am i??",potatoe
a cowbboy rode to a hotel on friday.  stayed 2 days and left on friday. how is that possible,his horse was named friday
"Bob is descibing his night to his girlfriend:  ""There wew four main groups, each a dozen strong.  Each group included a couple of important and royal people, and there were comedians which we tried our best to get rid of.  You would have enjoyed yourself as there were precious stones and love hearts. "" How had Bob spent his evening. ",he had been playing cards
How much did the pirates earrings cost?,buck an ear
When I was sitting on a railing I saw a ship sailing What was the captins name    If you don't know this you must be a dunce because I told you in the middle of the story,what was the captins name
What can point in every direction but can't reach the destination by itself. ,your finger
I am someone you use everyday.  You always walk in it.  what am I?,door
"What swings open every day, and can be any shape and size?  What has a handle that you shake hands with every day?",door
"Melissa's mother has 7 kids.  Their names are Monday, Tuesday, Wednesday, Thursday, Friday and Saturday.  What is the 7th kid's name?",melissa
"You was going the wrong way down a one way street, and the police saw you and didn't pull you over.  Why didn't the police stop you?",because you was walking
There were 19 sheep in a feild all but 2 fell down and died how many where left standing?,17 sheep
"If I have 10 eggs in a basket, two fall out and one breaks.  How many eggs are left?",7
if 5 is 6 what is 6,7
"Write eleven thousand, eleven hundred,eleven. ",1214
"What is black and white, has a horn and gives milk?",milk truck
What word is spelt the same either way you look at it?,race car
a little mountain cannot get,tae
"Kids Love To Eat This, Especially When There In This Land.  The Bridges Are Made Of Chocolate And Some Houses Are Too.  Even The Gingerbread House Could Be Here Too.  There Are Even People Moving My Neighbors Which Is A Horrible Sight.  We Might Get Thrown Around and it's large or wide. ",candyland
1.  two people go to gether but never meet each other,railway line
"Count every ""F "" in the following text:        FINISHED FILES ARE THE RE       SULT OF YEARS OF SCIENTI       FIC STUDY COMBINED WITH       THE EXPERIENCE OF YEARS. . .      HOW MANY ?",6  here they are ffollowingfinishedfilesficof
"ok a museum has a super rare diamond in a crystal casing tide on a rpoe tide to the ceiling .  to steal the diamondyouwould need a knife right.  butyouccant get a knife into the mesueum bedcuz there is a person with a metal detector.  one day a guy walks in , cuts the rope, and steals the diamond.  at the end there was a pudddle of water o the fllor.  HOW DID HE CUT THE ROPE??",knife was made of ice
"A man walks into a bar and asks the bartender for a glass of water.   Instead, the bartender draws a gun and points it at the man.   After a few seconds, the man thanks the bartender and happily walks away.   What happened?",man had hiccups
"we don't take showers, but were as clean as can be, what do we do to take the smell away?",we take baths
"A man walked into a bar in resort area and said to the bartender, ""Water, water. "" The bartender immediately pulled out a gun from under the bar and shot it. The man said, ""Thank You. "" and left. Why?",he had hiccoughs
"101 - 102 = 1  make this statement true by shifting any one digit.  no swapping, just move one digit. ",still looking for the answer
There was a man that was all red every thing was red on him but.    How is he still blue,he was sad
Silver but not silver  copper but gold  you use it every day   but who would know,spoon
i have two step sisters who make me work all day long and wont let me go to the dance ball. ,cinderella from disney princesses
there was a blind man driving a car but how could a blind man see if he was blind?,take his blind fold off
Theres 10 fishes in a fish tank.  7 of them drown.  How many are left?,fishes dont drown
i have a head and hace a tail im not a snake. What am i,quartar
"What does corn, ribs, and shrimp sometimes have in common ?",babies
there is a thing which you will write on the pad it come out on a paper?,printerprinter                          printer
"It comes without warning,  And makes you cry 'OH'  But you never can see it  Or tell where it goes. ",pain
Did you here about the travel agent that got sick at the airport?,they said it was terminal
I run forever yet never move what am i,stream of water
"There are 5 players in the all-star game: John, Tyler, Andrew, Daniel, and Drew.  One player struck out, one hit a single, one hit a double, one hit a triple, and one went yard.  John hit the ball out.  Andrew stuck out.  Tyler did something better than Andrew, but worse than John.  Drew did something worse than Tyler.  Daniel did something better than Drew.  Tyler did not hit a double.  No boy can do the same thing as someone else.  What did Tyler do?",he hit a triple
one in june one in july two in august,u
Divide 30 by 1/2 and add ten.  What is the answer?,70
"this person says their smart, known world wide, hates peace and is completely not patriotic, oiliotic",george busch
"Using a coconut and a watermelon to knock them on your head,which one is more painful?",your head
"It's dark inside, dirt surrounds me, your fleash get eatn' away.  Where am I?",in a grave
a hillfull a holefull   you can't cach abowil full,mist or fog
"A hill-full, a hole-full, you cannot catch a bowl-full",mist or fog
what does the crime but doesn't do the time?,acteractress
"What makes loud noises, scares cats up trees, tears up the grass, and runs over the flower beds?",lawn mower or lamma
I am black and I am White  I am good and bad  I am powerful and I am Powerless  Rise with me or Fall to me  What am I?,magic
What is Beethoven's favorite fruit?,banannana
What does the 1st magnet says to the 2nd magnet?,you are attractive
Why did some business people sit around a clock while at their job?,because theyre working around it
"Some ants are taking a walk . There is an ant in front of 2 ants ,an ant behind 2 antsand an antbetween 2 ants. What is the total number of ants?",3 ants
"I am right, never wrong, and everyone that alive has me.  What am I?",right side
"If you have one pound of rocks and one pound of feathers, which one will weigh more?",they both weigh a pound
WHAT PROBLEM DOES OCCUR IN A NUCLEAR ROBOT?,atomicache
What is half of a yo-yo?,yo
what is always coming but never comes,tommorow
"""I never was, am always to be,  No one ever saw me, nor ever will  And yet I am the confidence of all  To live and breathe on this terrestrial ball. """,tommorow
"I'm 90 year old but sill don't know who I am  I have a rich history with 5 children who look down on me  Always cultured but recently refined, I am backwards and forward thinker at the same time  I tech virture but hhere is no ""r's"" in my name  I am_______________________",game
What makes a man bald-headed,lack of hair
The man that builds it doesnt use it  The man that needs it doesnt know it  The man that wants it doesnt sell it  What is it?,coffincasket
"When you use it, you break it  When you break it, you're happy  Cleanup's a joy  Especially for dentists  What is it?",pinata
which place is showered most offently. ,bath room
A lady has seven kids. . . half of them are boys. . . how is this possible?,theyre all boys
"if you have 3 oranges and you take away 2, how many will you have?",two  you took two
All my 5 senses are perfect. But I can't run play tennis or do any type of Athletics the only thing i can do in Athletics is Throw a ball in a hoop.  Why can't I do any type of activity(athletics)?,i have no legs
"A cowboy was riding on a horse to a ghost town on Wednesday.  He stayed at the ghost town for five days.  On the fifth day, he left on Friday.  How is this possible?",horse was named friday
"a man, lay dead in a field with only a pakage in his hands.  The pakage is unopened and the cause of his death, what is in the pakage?",parachoute
Why did the man punch the fruit?,it was written fruitpunch
What goes up in the summer and down in the winter?,tempeture
Never trust this fellow's grin  His teeth are sharp and course  his blood's as cold as icicles  and he'll show no remorse!  what is he?,crocodile
What is red and shaped like a bucket?,red bucket
What size do a very large egg wear?,eggstra large
"What's black and white, black and white, black and white??",nun falling down stairs
